movieId,title,genres,year,cast
1,Toy Story,Animation|Adventure|Comedy,1995,Tom Hanks|Tim Allen|Don Rickles
2,Jumanji,Adventure|Fantasy|Family,1995,Robin Williams|Kirsten Dunst|David Alan Grier
3,Grumpier Old Men,Romance|Comedy,1995,Jack Lemmon|Walter Matthau|Ann-Margret
4,Waiting to Exhale,Drama|Romance,1995,Whitney Houston|Angela Bassett|Loretta Devine
5,Father of the Bride Part II,Comedy,1995,Steve Martin|Diane Keaton|Martin Short
6,Heat,Action|Crime|Drama,1995,Al Pacino|Robert De Niro|Val Kilmer
7,Sabrina,Romance|Comedy,1995,Harrison Ford|Julia Ormond|Greg Kinnear
8,Tom and Huck,Adventure|Children,1995,Jonathan Taylor Thomas|Brad Renfro|Eric Schweig
9,Sudden Death,Action,1995,Jean-Claude Van Damme|Powers Boothe|Dorian Harewood
10,GoldenEye,Action|Adventure|Thriller,1995,Pierce Brosnan|Sean Bean|Izabella Scorupco
11,American President,Romance|Comedy|Drama,1995,Michael Douglas|Annette Bening|Martin Sheen
12,Dracula: Dead and Loving It,Comedy|Horror,1995,Leslie Nielsen|Peter MacNicol|Mel Brooks
13,Balto,Adventure|Animation|Children|Drama,1995,Kevin Bacon|Bob Hoskins|Bridget Fonda
14,Nixon,Drama,1995,Anthony Hopkins|Joan Allen|Powers Boothe
15,Cutthroat Island,Action|Adventure|Romance,1995,Geena Davis|Matthew Modine|Frank Langella
16,Casino,Crime|Drama,1995,Robert De Niro|Sharon Stone|Joe Pesci
17,Sense and Sensibility,Drama|Romance,1995,Emma Thompson|Kate Winslet|Hugh Grant
18,Four Rooms,Comedy,1995,Tim Roth|Antonio Banderas|Madonna
19,Ace Ventura: When Nature Calls,Comedy,1995,Jim Carrey|Ian McNeice|Simon Callow
20,Money Train,Action|Comedy|Crime,1995,Wesley Snipes|Woody Harrelson|Jennifer Lopez
21,Get Shorty,Comedy|Crime|Thriller,1995,John Travolta|Gene Hackman|Rene Russo
22,Copycat,Crime|Drama|Thriller,1995,Sigourney Weaver|Holly Hunter|Dermot Mulroney
23,Powder,Drama|Fantasy,1995,Sean Patrick Flanery|Jeff Goldblum|Mary Steenburgen
24,Leaving Las Vegas,Drama|Romance,1995,Nicolas Cage|Elisabeth Shue|Julian Sands
25,Othello,Drama,1995,Laurence Fishburne|Kenneth Branagh|Irène Jacob

